month,date,new_followers
April,2023-04-25,3736
April,2023-04-30,2753
April,2023-04-06,2500
April,2023-04-24,1890
April,2023-04-15,1694
April,2023-04-16,1431
April,2023-04-14,973
April,2023-04-11,668
April,2023-04-04,558
April,2023-04-18,544
April,2023-04-12,513
April,2023-04-28,447
April,2023-04-22,422
April,2023-04-03,388
April,2023-04-10,367
April,2023-04-23,366
April,2023-04-05,314
April,2023-04-17,311
April,2023-04-27,294
April,2023-04-07,282
April,2023-04-02,240
April,2023-04-08,235
April,2023-04-21,197
April,2023-04-09,179
April,2023-04-29,174
April,2023-04-26,169
April,2023-04-19,90
April,2023-04-20,28
April,2023-04-13,18
April,2023-04-01,18
August,2023-08-23,2074
August,2023-08-21,1783
August,2023-08-06,1687
August,2023-08-19,1436
August,2023-08-17,1383
August,2023-08-15,1269
August,2023-08-26,1191
August,2023-08-16,1184
August,2023-08-02,1178
August,2023-08-28,1173
August,2023-08-30,1110
August,2023-08-22,1082
August,2023-08-12,873
August,2023-08-13,807
August,2023-08-08,685
August,2023-08-05,679
August,2023-08-04,653
August,2023-08-09,574
August,2023-08-07,539
August,2023-08-10,481
August,2023-08-03,467
August,2023-08-24,410
August,2023-08-20,383
August,2023-08-11,353
August,2023-08-27,299
August,2023-08-25,282
August,2023-08-29,269
August,2023-08-01,22
August,2023-08-31,19
August,2023-08-18,19
August,2023-08-14,7
February,2023-02-01,4106
February,2023-02-24,2383
February,2023-02-02,1989
February,2023-02-03,1768
February,2023-02-23,1374
February,2023-02-22,1072
February,2023-02-10,254
February,2023-02-16,247
February,2023-02-08,238
February,2023-02-17,227
February,2023-02-07,201
February,2023-02-11,172
February,2023-02-26,164
February,2023-02-09,151
February,2023-02-15,148
February,2023-02-28,146
February,2023-02-25,133
February,2023-02-13,118
February,2023-02-21,107
February,2023-02-18,66
February,2023-02-20,36
February,2023-02-27,31
February,2023-02-14,26
February,2023-02-12,24
February,2023-02-06,22
February,2023-02-04,21
February,2023-02-19,19
February,2023-02-05,11
January,2023-01-30,3186
January,2023-01-03,2959
January,2023-01-23,1003
January,2023-01-07,952
January,2023-01-06,854
January,2023-01-24,736
January,2023-01-11,734
January,2023-01-09,715
January,2023-01-01,693
January,2023-01-18,522
January,2023-01-08,506
January,2023-01-27,500
January,2023-01-25,490
January,2023-01-10,479
January,2023-01-16,439
January,2023-01-26,422
January,2023-01-28,314
January,2023-01-14,311
January,2023-01-22,303
January,2023-01-21,286
January,2023-01-02,263
January,2023-01-29,77
January,2023-01-05,65
January,2023-01-04,44
January,2023-01-15,42
January,2023-01-13,41
January,2023-01-19,31
January,2023-01-31,27
January,2023-01-12,23
January,2023-01-17,21
January,2023-01-20,15
July,2023-07-08,3716
July,2023-07-15,3364
July,2023-07-28,2344
July,2023-07-26,1987
July,2023-07-12,1939
July,2023-07-11,1655
July,2023-07-04,1558
July,2023-07-19,1492
July,2023-07-24,1271
July,2023-07-09,1203
July,2023-07-21,967
July,2023-07-25,909
July,2023-07-29,900
July,2023-07-27,880
July,2023-07-02,875
July,2023-07-23,868
July,2023-07-31,832
July,2023-07-18,819
July,2023-07-10,749
July,2023-07-16,651
July,2023-07-17,618
July,2023-07-05,614
July,2023-07-13,530
July,2023-07-14,510
July,2023-07-01,510
July,2023-07-20,471
July,2023-07-07,431
July,2023-07-03,321
July,2023-07-22,286
July,2023-07-06,18
July,2023-07-30,14
June,2023-06-30,8804
June,2023-06-03,8802
June,2023-06-21,7033
June,2023-06-11,6086
June,2023-06-09,5716
June,2023-06-17,5694
June,2023-06-29,5413
June,2023-06-18,4618
June,2023-06-07,4161
June,2023-06-28,3769
June,2023-06-22,2575
June,2023-06-15,2051
June,2023-06-24,1756
June,2023-06-12,1663
June,2023-06-26,1132
June,2023-06-06,854
June,2023-06-08,815
June,2023-06-23,811
June,2023-06-25,771
June,2023-06-02,586
June,2023-06-04,581
June,2023-06-01,556
June,2023-06-20,496
June,2023-06-13,484
June,2023-06-05,458
June,2023-06-14,307
June,2023-06-19,288
June,2023-06-27,285
June,2023-06-16,228
June,2023-06-10,149
March,2023-03-21,5421
March,2023-03-28,2513
March,2023-03-25,2356
March,2023-03-29,1155
March,2023-03-03,990
March,2023-03-16,810
March,2023-03-22,685
March,2023-03-23,684
March,2023-03-13,621
March,2023-03-05,576
March,2023-03-02,440
March,2023-03-12,394
March,2023-03-26,393
March,2023-03-31,322
